Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
"0,000","0,000",,,"0,0000",,,-7.00E-05,-7.00E-06,"-7,1E-7","0,000","0,000",,,"0,0000",,,-6.00E-05,-6.00E-06,"-6,3E-7","0,000","0,000",,,"0,0000",,,-2.00E-04,3.00E-06,"-1,6E-6","0,000","0,000",,,"0,0000",,,-9.00E-05,1.00E-05,"-8,9E-7","0,000","0,000",,,"0,0000",,,-1.00E-04,5.00E-06,"-1,4E-6","0,000","0,000",,,"0,0000",,,-2.00E-04,2.00E-06,"-1,7E-6","0,000","0,000",,,"0,0000",,,-3.00E-04,-7.00E-06,"-2,7E-6",,,,,,,,,,
"0,050","0,000","0,000",,"0,0000","0,000",,-6.00E-05,-6.00E-06,"-6,1E-7","0,050","0,000","0,000",,"0,0000","0,000",,-7.00E-05,-7.00E-06,"-6,7E-7","0,010","0,000","0,000",,"0,0000","0,000",,-2.00E-04,3.00E-06,"-1,6E-6","0,001","0,000","0,000",,"0,0000","0,000",,-9.00E-05,1.00E-05,"-8,8E-7","1,000","-0,019","-5,797",,-4.50E+00,"-0,138",,-2.00E-05,2.00E-05,"-2,0E-7","0,500","0,000","-2,339",,"0,0000","-0,056",,-1.00E-04,6.00E-06,"-1,4E-6","0,500","-0,041","-0,669",,-9.75E+00,"-0,016",,-3.00E-04,-6.00E-06,"-2,6E-6",,,,,,,,,,
"0,100","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-5,2E-7","0,100","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-6,5E-7","0,020","0,000","0,000","0,000","0,0000","0,000","0,000",-2.00E-04,3.00E-06,"-1,6E-6","0,002","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,9E-7","2,000","-11,594","-5,788","2,899","-0,2768","-0,138","0,069",6.00E-05,3.00E-05,"6,2E-7","1,000","-2,339","-2,619","1,635","-0,0558","-0,063","0,039",-6.00E-05,1.00E-05,"-6,3E-7","1,000","-0,669","-11,172","-9,891","-0,0160","-0,267","-0,236",-1.00E-04,9.00E-06,"-1,0E-6",,,,,,,,,,
"0,150","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-4,8E-7","0,150","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,4E-7","0,030","0,000","0,000","0,000","0,0000","0,000","0,000",-2.00E-04,4.00E-06,"-1,6E-6","0,003","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,9E-7","3,000","-11,594","0,000","2,894","-0,2768","0,000","0,069",7.00E-05,3.00E-05,"7,1E-7","1,500","-2,619","-0,704","-6,267","-0,0625","-0,017","-0,150",-7.00E-05,1.00E-05,"-7,4E-7","1,500","-11,212","-10,560","11,154","-0,2677","-0,252","0,266",-1.00E-06,2.00E-05,"-1,3E-8",,,,,,,,,,
"0,200","0,000","0,000","0,000","0,0000","0,000","0,000",-4.00E-05,-4.00E-06,"-4,5E-7","0,200","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,5E-7","0,040","0,000","0,000","0,000","0,0000","0,000","0,000",-2.00E-04,4.00E-06,"-1,5E-6","0,004","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,7E-7","4,000","-11,594","0,000","0,000","-0,2768","0,000","0,000",6.00E-05,3.00E-05,"6,3E-7","2,000","-3,043","-8,886","-7,758","-0,0726","-0,212","-0,185",5.00E-05,2.00E-05,"4,7E-7","2,000","-11,230","-0,017","10,560","-0,2681",-4.13E-01,"0,252",-6.00E-06,2.00E-05,"-6,0E-8",,,,,,,,,,
"0,250","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-5,2E-7","0,250","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,3E-7","0,050","0,000","0,000","0,000","0,0000","0,000","0,000",-2.00E-04,4.00E-06,"-1,5E-6","0,005","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,8E-7","5,000","-11,594","0,000",,"-0,2768","0,000",,6.00E-05,3.00E-05,"6,4E-7","2,500","-11,505","-8,462","8,886","-0,2746","-0,202","0,212",9.00E-05,3.00E-05,"8,6E-7","2,500","-11,230","0,000","0,017","-0,2681","0,000",4.13E-01,-1.00E-06,2.00E-05,"-9,9E-9",,,,,,,,,,
"0,300","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-5,5E-7","0,300","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,5E-7","0,060","0,000","0,000","0,000","0,0000","0,000","0,000",-2.00E-04,4.00E-06,"-1,5E-6","0,006","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,5E-7",,,,,,,,,,,"3,000","-11,505","0,000","8,462","-0,2746","0,000","0,202",1.00E-04,3.00E-05,"1,0E-6","3,000","-11,230","0,000","0,000","-0,2681","0,000","0,000",7.00E-06,2.00E-05,"7,1E-8",,,,,,,,,,
"0,350","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,1E-7","0,350","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,3E-7","0,070","0,000","0,000","-3,927","0,0000","0,000","-0,094",-2.00E-04,4.00E-06,"-1,5E-6","0,007","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,7E-7",,,,,,,,,,,"3,500","-11,505","0,000","0,000","-0,2746","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6","3,500","-11,230","0,000","0,000","-0,2681","0,000","0,000",7.00E-06,2.00E-05,"7,3E-8",,,,,,,,,,
"0,400","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,2E-7","0,400","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-7,9E-7","0,080","0,000","-0,079","-7,854","0,0000","-0,002","-0,188",-1.00E-04,5.00E-06,"-1,5E-6","0,008","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,"4,000","-11,505","0,000","0,000","-0,2746","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6","4,000","-11,230","0,000","0,000","-0,2681","0,000","0,000",2.00E-05,2.00E-05,"2,3E-7",,,,,,,,,,
